date,new_diagnoses,new_tests,new_deaths
2020-03-01,10,240,0
2020-03-02,30,220,0
2020-03-03,20,150,0
2020-03-04,80,400,0
2020-03-05,200,380,0
2020-03-06,90,610,0
2020-03-07,60,430,0
2020-03-08,130,980,0
2020-03-09,60,930,0
2020-03-10,250,1700,0
2020-03-11,280,3680,0
2020-03-12,270,4370,0
2020-03-13,220,2910,20
2020-03-14,430,3280,0
2020-03-15,760,11470,0
2020-03-16,650,14380,10
2020-03-17,880,12090,0
2020-03-18,860,12690,0
2020-03-19,1150,11950,10
2020-03-20,510,5290,0
2020-03-21,550,4820,30
2020-03-22,950,11060,20
2020-03-23,740,4710,10
2020-03-24,630,4380,40
2020-03-25,1780,11110,20
2020-03-26,830,6210,10
2020-03-27,1400,10590,20
2020-03-28,1370,9510,10
2020-03-29,1500,9640,0
2020-03-30,1440,10580,10
2020-04-03,1450,10580,10
2020-04-11,0,0,10
